sick_cd,sick_nm,sickCd,sickEngNm,sickNm
D25,Leiomyoma of uterus,D25,Leiomyoma of uterus,자궁의 평활근종
D26,Other benign neoplasms of uterus,D26,Other benign neoplasms of uterus,자궁의 기타 양성 신생물
D27,Benign neoplasm of ovary,D27,Benign neoplasm of ovary,난소의 양성 신생물
D28,Benign neoplasm of other and unspecified female genital organs,D28,Benign neoplasm of other and unspecified female genital organs,기타 및 상세불명의 여성생식기관의 양성 신생물
D29,Benign neoplasm of male genital organs,D29,Benign neoplasm of male genital organs,남성생식기관의 양성 신생물
D30,Benign neoplasm of urinary organs,D30,Benign neoplasm of urinary organs,비뇨기관의 양성 신생물
D31,Benign neoplasm of eye and adnexa,D31,Benign neoplasm of eye and adnexa,눈 및 부속기의 양성 신생물
D32,Benign neoplasm of meninges,D32,Benign neoplasm of meninges,수막의 양성 신생물
D33,Benign neoplasm of brain and other parts of central nervous system,D33,Benign neoplasm of brain and other parts of central nervous system,뇌 및 중추신경계통의 기타 부분의 양성 신생물
D34,Benign neoplasm of thyroid gland,D34,Benign neoplasm of thyroid gland,갑상선의 양성 신생물
